Organization,Site Description,Call Type,Category
BOM05,DataCenter,Request,ACCESS REQUEST
BOM05,DataCenter,Request,ACCESS REQUEST
BOM05,DataCenter,Request,ACCESS REQUEST
BOM05,DataCenter,Request,ACCESS REQUEST
BOM05,DataCenter,Request,ACCESS REQUEST
BOM05,DataCenter,Request,REMOTE HAND SERVICES
BOM05,DataCenter,Request,ACCESS REQUEST
BOM05,DataCenter,Request,ACCESS REQUEST
BOM05,DataCenter,Request,ACCESS REQUEST
BOM05,DataCenter,Request,MATERIAL MOVEMENT
BOM05,DataCenter,Request,ACCESS REQUEST
BOM05,DataCenter,Request,ACCESS REQUEST
BOM05,DataCenter,Request,MATERIAL MOVEMENT
BOM05,DataCenter,Request,ACCESS REQUEST
BOM05,DataCenter,Request,ACCESS REQUEST
BOM05,DataCenter,Request,ACCESS REQUEST
BOM05,DataCenter,Request,ACCESS REQUEST
BOM05,DataCenter,Request,ACCESS REQUEST
BOM05,DataCenter,Request,MATERIAL MOVEMENT
BOM05,DataCenter,Request,ACCESS REQUEST
BOM05,DataCenter,Request,ACCESS REQUEST
BOM05,DataCenter,Request,ACCESS REQUEST
BOM05,DataCenter,Request,MATERIAL MOVEMENT
BOM05,DataCenter,Request,ACCESS REQUEST
BOM05,DataCenter,Request,ACCESS REQUEST
BOM05,DataCenter,Request,MATERIAL MOVEMENT
BOM05,DataCenter,Request,ACCESS REQUEST
